Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Feedback comments,Sentiment
101,10,5,6,6,9,8,10,3,Best subject ever!,Positive
871,7,8,7,10,10,7,2,2,Assignments are too hard.,Negative
551,6,3,5,7,3,1,9,10,Best subject ever!,Positive
931,6,5,7,3,6,5,6,10,"Great course, learned a lot!",Positive
49,8,7,8,8,1,1,8,3,I would recommend this course.,Positive
512,5,10,7,9,9,9,6,9,Sometimes explanations are confusing.,Negative
261,9,9,7,7,4,10,5,9,Loved the presentations.,Positive
754,6,9,4,4,3,10,2,10,I would recommend this course.,Positive
345,8,2,8,9,10,10,9,5,Course structure could be better.,Positive
970,10,9,5,7,6,7,4,7,The teacher explains well.,Positive
990,6,9,6,4,9,5,10,8,"Great course, learned a lot!",Positive
911,6,4,4,10,9,4,7,2,Loved the presentations.,Positive
909,9,8,5,9,5,6,9,7,I would recommend this course.,Positive
817,6,5,7,10,10,4,6,6,The teacher explains well.,Positive
733,10,10,5,1,4,1,3,4,Assignments are too hard.,Negative
626,7,9,5,4,9,4,3,1,"Great course, learned a lot!",Positive
292,7,9,8,1,5,4,7,4,"Great course, learned a lot!",Positive
82,5,10,8,4,4,10,5,5,Assignments are too hard.,Negative
355,10,8,5,6,5,10,1,8,Sometimes explanations are confusing.,Negative
948,9,5,4,7,9,3,5,7,Assignments are too hard.,Negative
341,9,4,4,4,7,5,5,8,"Great course, learned a lot!",Positive
952,7,9,5,7,8,8,10,5,"Great course, learned a lot!",Positive
711,7,3,4,6,3,7,6,4,I would recommend this course.,Positive
635,7,3,8,6,7,4,10,5,Best subject ever!,Positive
850,5,8,7,4,8,7,8,6,The teacher explains well.,Positive
716,6,3,7,9,2,3,3,6,Assignments are too hard.,Negative
627,10,2,4,1,6,5,9,5,The teacher explains well.,Positive
661,6,10,4,3,8,2,7,6,Assignments are too hard.,Negative
877,8,9,4,5,10,10,10,2,Course structure could be better.,Positive
177,8,2,6,2,8,1,9,9,"Great course, learned a lot!",Positive
322,8,10,7,3,3,3,1,5,Best subject ever!,Positive
914,9,2,4,2,4,2,2,9,I would recommend this course.,Positive
486,10,9,5,1,4,10,6,9,Best subject ever!,Positive
723,6,10,5,3,10,3,6,4,Best subject ever!,Positive
105,9,10,5,1,3,1,1,2,Best subject ever!,Positive
52,6,10,4,1,7,3,10,2,The teacher explains well.,Positive
436,9,9,4,10,1,10,10,2,Assignments are too hard.,Negative
829,6,9,5,3,2,2,10,9,Not very helpful.,Negative
753,5,10,8,7,5,10,9,7,Course structure could be better.,Positive
130,7,9,5,9,3,2,5,4,Loved the presentations.,Positive
91,6,5,4,2,5,8,3,3,Best subject ever!,Positive
590,10,3,4,4,9,9,6,2,Sometimes explanations are confusing.,Negative
965,10,3,4,5,10,3,7,3,The teacher explains well.,Positive
99,8,9,6,2,2,3,10,6,I would recommend this course.,Positive
912,7,10,7,10,2,7,5,7,Loved the presentations.,Positive
395,9,6,8,2,7,9,8,10,Not very helpful.,Negative
923,6,3,5,6,9,4,10,3,Sometimes explanations are confusing.,Negative
499,7,9,8,3,5,1,5,2,Not very helpful.,Negative
115,5,5,7,1,3,8,1,10,Loved the presentations.,Positive
815,5,9,6,6,2,9,5,3,Best subject ever!,Positive
570,10,10,6,8,9,2,8,10,Sometimes explanations are confusing.,Negative
825,9,7,8,1,3,2,9,3,Not very helpful.,Negative
620,9,5,8,2,8,10,8,8,I would recommend this course.,Positive
175,10,9,8,2,1,6,7,2,Assignments are too hard.,Negative
358,5,7,4,3,3,10,3,4,"Great course, learned a lot!",Positive
191,7,4,5,2,5,10,4,7,Assignments are too hard.,Negative
492,6,5,8,10,3,8,3,2,Loved the presentations.,Positive
529,9,6,6,1,4,10,1,7,The teacher explains well.,Positive
389,5,5,8,6,2,3,5,7,"Great course, learned a lot!",Positive
878,6,5,8,4,10,3,9,10,Course structure could be better.,Positive
368,7,9,8,3,2,7,4,1,I would recommend this course.,Positive
122,7,5,5,3,9,6,9,2,Course structure could be better.,Positive
332,9,2,7,2,8,7,4,10,Sometimes explanations are confusing.,Negative
303,7,4,5,4,7,2,1,6,"Great course, learned a lot!",Positive
336,8,10,4,5,6,7,2,3,Course structure could be better.,Positive
588,6,6,4,10,10,10,3,9,Course structure could be better.,Positive
609,10,9,4,4,1,5,9,10,Not very helpful.,Negative
920,10,6,7,10,10,2,4,2,Assignments are too hard.,Negative
370,9,4,7,10,1,10,2,7,Not very helpful.,Negative
405,10,2,5,5,5,1,4,6,"Great course, learned a lot!",Positive
779,10,8,6,3,8,8,7,8,"Great course, learned a lot!",Positive
962,10,6,4,5,1,7,1,10,Loved the presentations.,Positive
268,10,6,5,9,9,1,8,6,Not very helpful.,Negative
625,10,7,6,7,9,6,3,3,Very supportive teacher.,Positive
217,8,9,8,3,8,5,5,5,Assignments are too hard.,Negative
479,10,10,4,6,5,9,2,3,"Great course, learned a lot!",Positive
500,9,5,8,4,2,2,5,1,Loved the presentations.,Positive
409,8,9,7,3,10,4,6,1,Not very helpful.,Negative
546,7,7,5,1,9,8,1,1,Assignments are too hard.,Negative
967,5,5,8,8,1,9,8,5,Not very helpful.,Negative
343,8,4,7,1,10,8,2,6,Course structure could be better.,Positive
639,7,4,7,7,6,10,5,7,Loved the presentations.,Positive
402,6,8,6,9,4,8,5,7,Assignments are too hard.,Negative
617,5,7,5,4,7,1,10,6,Best subject ever!,Positive
349,6,8,8,2,9,9,2,8,Sometimes explanations are confusing.,Negative
994,8,5,5,2,5,5,9,5,Sometimes explanations are confusing.,Negative
279,5,10,7,1,4,4,9,4,Assignments are too hard.,Negative
926,10,7,5,1,1,6,6,1,Not very helpful.,Negative
816,10,8,5,9,2,7,9,3,Loved the presentations.,Positive
765,8,7,8,5,7,7,7,7,Sometimes explanations are confusing.,Negative
160,10,6,5,4,2,10,4,7,Loved the presentations.,Positive
606,8,3,8,1,6,4,8,9,Sometimes explanations are confusing.,Negative
602,5,3,6,2,8,10,3,1,Course structure could be better.,Positive
893,10,6,8,1,1,10,1,3,Not very helpful.,Negative
810,9,6,7,3,5,9,10,5,Course structure could be better.,Positive
802,8,2,6,6,3,8,7,7,Sometimes explanations are confusing.,Negative
162,6,2,5,2,10,2,8,8,Best subject ever!,Positive
449,5,7,8,9,3,2,7,10,Best subject ever!,Positive
463,7,8,7,8,1,4,4,1,Course structure could be better.,Positive
41,5,3,5,9,3,1,8,8,Best subject ever!,Positive
838,6,3,6,8,7,1,8,8,Sometimes explanations are confusing.,Negative
703,10,7,8,3,4,7,9,8,Assignments are too hard.,Negative
490,9,2,6,10,9,8,2,4,Course structure could be better.,Positive
906,7,7,8,4,5,2,4,5,The teacher explains well.,Positive
174,7,3,6,7,10,10,2,3,Not very helpful.,Negative
4,5,8,5,7,10,7,3,1,Best subject ever!,Positive
161,6,7,8,3,5,10,6,4,Best subject ever!,Positive
31,5,4,5,9,9,2,4,1,"Great course, learned a lot!",Positive
623,6,4,6,6,10,10,3,9,Very supportive teacher.,Positive
818,10,5,4,9,2,6,2,6,Course structure could be better.,Positive
60,5,6,5,3,1,7,5,3,I would recommend this course.,Positive
384,6,2,7,9,4,4,2,8,Best subject ever!,Positive
971,7,6,7,4,6,6,7,9,Not very helpful.,Negative
427,7,3,7,2,9,8,8,7,The teacher explains well.,Positive
431,10,9,4,3,3,9,4,1,Best subject ever!,Positive
408,6,5,4,7,1,8,6,7,The teacher explains well.,Positive
577,10,7,4,10,7,2,5,1,Sometimes explanations are confusing.,Negative
803,6,10,8,5,6,5,6,7,Sometimes explanations are confusing.,Negative
273,9,3,7,1,5,3,8,4,Very supportive teacher.,Positive
371,6,3,4,9,4,10,4,10,Assignments are too hard.,Negative
999,6,7,8,8,9,9,9,5,I would recommend this course.,Positive
595,10,5,5,4,10,4,4,4,"Great course, learned a lot!",Positive
63,8,8,7,4,4,4,8,2,Very supportive teacher.,Positive
899,5,4,7,7,2,6,1,1,Loved the presentations.,Positive
0,7,4,8,2,1,4,8,3,"Great course, learned a lot!",Positive
796,7,9,6,2,7,7,6,8,Course structure could be better.,Positive
181,10,10,4,2,1,5,3,1,Not very helpful.,Negative
290,6,7,6,4,2,8,9,7,Loved the presentations.,Positive
373,6,4,8,10,5,3,10,10,Loved the presentations.,Positive
285,6,10,5,7,3,3,5,1,Very supportive teacher.,Positive
882,6,3,4,1,7,5,4,2,Assignments are too hard.,Negative
776,8,3,7,6,3,7,6,7,Very supportive teacher.,Positive
935,10,9,7,2,8,2,1,2,Course structure could be better.,Positive
679,10,6,4,5,10,9,6,7,Best subject ever!,Positive
102,7,4,6,3,5,7,5,5,Best subject ever!,Positive
618,5,8,6,9,3,8,7,9,Assignments are too hard.,Negative
607,8,4,4,10,10,8,3,7,Course structure could be better.,Positive
743,9,7,7,10,1,5,5,10,Assignments are too hard.,Negative
682,8,5,8,9,2,10,3,4,The teacher explains well.,Positive
16,5,3,6,6,5,8,8,2,Best subject ever!,Positive
969,8,6,8,10,2,1,3,2,Loved the presentations.,Positive
46,8,4,4,9,5,7,4,8,I would recommend this course.,Positive
706,6,8,7,9,8,6,4,1,Not very helpful.,Negative
993,9,9,4,1,5,2,9,9,Course structure could be better.,Positive
508,10,6,5,8,8,5,7,10,"Great course, learned a lot!",Positive
989,8,4,5,4,8,6,7,3,Assignments are too hard.,Negative
133,10,4,7,3,5,4,4,5,Not very helpful.,Negative
15,8,9,8,3,6,10,2,3,"Great course, learned a lot!",Positive
78,10,9,6,8,10,7,7,8,Not very helpful.,Negative
433,6,6,8,4,8,9,4,1,I would recommend this course.,Positive
784,7,7,4,3,7,8,6,10,"Great course, learned a lot!",Positive
983,5,2,4,1,9,4,3,2,Very supportive teacher.,Positive
197,9,3,5,9,8,2,4,10,Sometimes explanations are confusing.,Negative
483,8,2,6,2,10,2,2,5,Very supportive teacher.,Positive
376,5,5,5,8,8,4,6,10,Best subject ever!,Positive
915,10,7,4,6,9,4,9,5,Sometimes explanations are confusing.,Negative
210,6,5,7,9,5,1,2,4,Very supportive teacher.,Positive
20,8,4,5,1,10,10,7,5,Sometimes explanations are confusing.,Negative
425,5,9,8,1,10,8,10,10,Sometimes explanations are confusing.,Negative
668,6,3,6,1,2,10,9,3,Loved the presentations.,Positive
54,7,2,5,1,5,3,1,3,Assignments are too hard.,Negative
950,7,2,7,10,5,3,4,7,Assignments are too hard.,Negative
782,6,7,4,2,2,1,3,8,Loved the presentations.,Positive
108,5,5,7,5,10,7,3,9,Not very helpful.,Negative
400,9,4,5,5,8,10,6,10,The teacher explains well.,Positive
685,10,9,7,3,1,6,6,4,Not very helpful.,Negative
673,9,3,4,4,7,9,8,4,"Great course, learned a lot!",Positive
198,6,7,7,7,3,5,4,3,"Great course, learned a lot!",Positive
14,5,5,8,9,7,5,2,1,Sometimes explanations are confusing.,Negative
172,6,5,8,3,4,3,10,3,Very supportive teacher.,Positive
359,5,6,7,6,9,5,1,5,Very supportive teacher.,Positive
714,10,5,5,5,7,5,7,9,Assignments are too hard.,Negative
785,7,6,7,1,7,5,5,9,Course structure could be better.,Positive
865,8,4,6,2,7,5,2,7,Not very helpful.,Negative
662,10,6,4,5,1,9,6,3,Best subject ever!,Positive
513,9,10,7,7,9,2,10,1,I would recommend this course.,Positive
722,7,10,5,5,4,9,6,7,Very supportive teacher.,Positive
8,6,7,6,10,6,9,9,10,I would recommend this course.,Positive
873,10,10,4,5,9,10,2,5,Sometimes explanations are confusing.,Negative
684,10,3,7,4,4,5,1,10,I would recommend this course.,Positive
73,7,2,5,6,3,1,1,4,Best subject ever!,Positive
900,9,8,5,8,4,6,9,7,Loved the presentations.,Positive
933,6,9,4,8,7,10,3,5,Best subject ever!,Positive
634,6,7,6,6,1,6,3,8,I would recommend this course.,Positive
835,8,2,7,8,3,4,3,4,Best subject ever!,Positive
422,9,8,4,4,8,3,4,10,The teacher explains well.,Positive
235,6,2,8,8,6,3,3,1,Sometimes explanations are confusing.,Negative
286,10,3,7,10,8,8,4,9,Not very helpful.,Negative
129,7,3,4,9,1,4,4,9,Loved the presentations.,Positive
443,7,9,8,2,4,5,1,5,Very supportive teacher.,Positive
301,10,7,7,4,3,4,9,2,"Great course, learned a lot!",Positive
532,10,2,4,2,2,6,10,9,Not very helpful.,Negative
64,6,2,8,1,8,4,8,4,"Great course, learned a lot!",Positive
860,10,8,4,3,7,1,4,5,Sometimes explanations are confusing.,Negative
559,8,4,4,6,5,5,1,7,Loved the presentations.,Positive
311,7,5,6,8,4,9,8,9,Assignments are too hard.,Negative
32,9,3,7,7,6,1,9,2,Very supportive teacher.,Positive
296,10,7,4,2,2,10,10,8,The teacher explains well.,Positive
419,10,2,5,8,5,3,3,10,Assignments are too hard.,Negative
83,10,6,6,1,8,1,3,9,Sometimes explanations are confusing.,Negative
594,7,2,7,6,7,2,3,6,Not very helpful.,Negative
501,5,2,8,4,7,6,10,4,The teacher explains well.,Positive
411,8,4,4,4,8,4,3,1,Best subject ever!,Positive
824,10,7,7,9,4,9,9,8,I would recommend this course.,Positive
585,7,6,8,2,4,7,10,9,The teacher explains well.,Positive
848,9,9,6,1,9,2,8,6,Sometimes explanations are confusing.,Negative
299,10,8,5,5,4,3,1,9,Course structure could be better.,Positive
107,9,4,8,6,10,4,5,9,I would recommend this course.,Positive
119,9,10,5,1,9,6,7,6,"Great course, learned a lot!",Positive
335,5,3,4,2,8,4,7,6,Very supportive teacher.,Positive
557,5,5,8,2,4,10,6,1,"Great course, learned a lot!",Positive
113,5,6,7,1,10,6,4,7,The teacher explains well.,Positive
281,5,6,6,3,4,1,1,1,"Great course, learned a lot!",Positive
836,9,3,4,6,6,3,2,7,Sometimes explanations are confusing.,Negative
426,9,8,7,8,10,6,9,8,Best subject ever!,Positive
42,8,2,4,6,6,7,3,1,Not very helpful.,Negative
567,9,3,8,1,4,9,10,9,Very supportive teacher.,Positive
589,5,8,7,5,6,7,8,9,"Great course, learned a lot!",Positive
187,5,5,6,2,6,1,8,5,"Great course, learned a lot!",Positive
615,5,6,7,9,1,1,1,5,The teacher explains well.,Positive
556,9,9,5,5,1,3,6,10,Not very helpful.,Negative
3,9,6,5,9,10,5,5,4,Assignments are too hard.,Negative
667,9,9,6,2,1,3,10,2,"Great course, learned a lot!",Positive
234,7,2,4,5,1,8,7,2,Sometimes explanations are confusing.,Negative
96,6,6,5,10,8,10,5,2,Course structure could be better.,Positive
691,7,7,8,8,5,4,8,2,Very supportive teacher.,Positive
269,9,10,6,10,10,1,9,10,"Great course, learned a lot!",Positive
566,8,10,6,10,7,6,6,1,Sometimes explanations are confusing.,Negative
985,5,5,4,8,7,6,7,3,Sometimes explanations are confusing.,Negative
437,7,2,6,7,5,8,1,8,Very supportive teacher.,Positive
200,8,4,8,6,8,4,7,1,Assignments are too hard.,Negative
291,10,3,7,8,2,10,3,3,Sometimes explanations are confusing.,Negative
612,8,9,8,7,1,2,8,4,Course structure could be better.,Positive
448,6,7,7,9,2,9,2,5,Sometimes explanations are confusing.,Negative
439,6,8,7,7,7,4,5,4,Sometimes explanations are confusing.,Negative
573,5,5,5,8,8,9,8,2,Sometimes explanations are confusing.,Negative
7,5,8,5,6,2,10,4,8,Best subject ever!,Positive
725,5,10,8,4,3,5,1,6,Best subject ever!,Positive
50,9,8,6,7,1,6,7,4,Assignments are too hard.,Negative
423,7,9,5,10,10,7,7,3,"Great course, learned a lot!",Positive
140,7,10,6,8,6,10,9,6,Sometimes explanations are confusing.,Negative
135,8,9,7,3,6,10,2,9,Not very helpful.,Negative
786,5,4,7,5,5,6,7,1,"Great course, learned a lot!",Positive
601,8,9,4,5,4,3,1,10,Assignments are too hard.,Negative
493,9,4,4,9,4,3,6,7,Loved the presentations.,Positive
553,7,2,4,7,3,5,1,3,"Great course, learned a lot!",Positive
27,7,3,5,5,5,1,8,6,"Great course, learned a lot!",Positive
257,8,5,6,4,4,1,5,4,I would recommend this course.,Positive
225,10,4,5,9,3,6,9,4,The teacher explains well.,Positive
788,6,5,6,3,10,4,3,8,I would recommend this course.,Positive
37,8,9,5,3,4,3,5,2,Course structure could be better.,Positive
170,5,10,7,2,8,5,9,5,Best subject ever!,Positive
528,9,2,5,2,6,5,1,6,Best subject ever!,Positive
600,7,8,6,10,6,7,7,6,The teacher explains well.,Positive
655,7,8,5,4,1,6,6,8,Very supportive teacher.,Positive
74,8,8,6,1,2,5,2,6,Very supportive teacher.,Positive
505,9,6,8,5,8,4,7,6,Assignments are too hard.,Negative
377,5,5,7,3,9,6,1,4,The teacher explains well.,Positive
808,8,6,4,5,1,8,8,3,"Great course, learned a lot!",Positive
366,9,9,8,2,1,10,5,2,Very supportive teacher.,Positive
238,8,7,5,10,10,9,7,10,Sometimes explanations are confusing.,Negative
255,9,10,7,10,3,2,7,8,Not very helpful.,Negative
123,10,2,4,5,9,8,3,5,"Great course, learned a lot!",Positive
663,6,2,8,2,5,7,5,7,Course structure could be better.,Positive
876,6,7,4,4,9,2,5,9,Sometimes explanations are confusing.,Negative
690,5,10,8,4,2,7,9,6,Sometimes explanations are confusing.,Negative
309,5,8,4,9,2,1,4,5,The teacher explains well.,Positive
693,7,9,8,1,5,10,3,7,Assignments are too hard.,Negative
226,7,6,8,8,8,5,8,8,Course structure could be better.,Positive
951,10,10,7,10,5,9,7,1,Very supportive teacher.,Positive
260,9,3,7,4,7,2,8,3,The teacher explains well.,Positive
243,9,8,8,8,4,10,8,9,Very supportive teacher.,Positive
222,5,4,4,2,7,9,5,3,The teacher explains well.,Positive
314,5,10,6,8,6,6,10,4,The teacher explains well.,Positive
229,7,6,8,2,2,10,8,8,The teacher explains well.,Positive
85,5,6,8,9,3,4,4,4,Assignments are too hard.,Negative
76,8,9,8,6,3,10,7,2,The teacher explains well.,Positive
887,6,9,5,8,9,7,6,2,Loved the presentations.,Positive
582,8,4,7,8,1,5,9,3,Not very helpful.,Negative
674,8,5,6,8,7,10,2,7,Very supportive teacher.,Positive
986,7,2,6,2,4,7,10,7,"Great course, learned a lot!",Positive
511,8,4,4,5,2,10,10,6,I would recommend this course.,Positive
879,6,10,5,10,9,5,5,4,Course structure could be better.,Positive
401,8,10,7,2,8,10,8,9,Best subject ever!,Positive
514,6,6,7,10,7,7,6,3,Assignments are too hard.,Negative
750,10,3,8,1,5,1,3,5,"Great course, learned a lot!",Positive
156,7,4,7,9,10,8,5,8,Sometimes explanations are confusing.,Negative
775,5,6,7,2,5,4,1,4,Loved the presentations.,Positive
329,9,8,8,5,3,3,10,8,Best subject ever!,Positive
467,8,10,5,7,7,1,3,6,I would recommend this course.,Positive
178,7,7,4,7,1,2,1,2,"Great course, learned a lot!",Positive
549,5,3,7,6,8,8,5,5,Best subject ever!,Positive
453,8,4,4,4,2,8,1,4,"Great course, learned a lot!",Positive
307,6,9,5,1,6,5,3,5,Loved the presentations.,Positive
472,6,8,7,7,9,9,2,3,I would recommend this course.,Positive
392,7,7,4,9,7,10,8,4,Sometimes explanations are confusing.,Negative
65,6,4,4,6,3,10,8,3,The teacher explains well.,Positive
575,9,4,7,7,1,1,5,1,Very supportive teacher.,Positive
855,8,3,6,4,1,1,9,7,Sometimes explanations are confusing.,Negative
791,5,9,4,4,1,4,10,9,The teacher explains well.,Positive
391,5,3,7,6,7,6,9,4,Assignments are too hard.,Negative
973,6,3,4,6,4,6,6,9,Not very helpful.,Negative
828,8,3,5,2,9,5,6,3,Course structure could be better.,Positive
247,6,9,6,5,2,2,3,7,Course structure could be better.,Positive
412,9,2,5,8,7,2,10,4,Very supportive teacher.,Positive
67,7,9,4,3,9,1,1,2,I would recommend this course.,Positive
289,5,2,5,8,9,2,7,2,Loved the presentations.,Positive
399,10,6,4,8,6,5,10,4,I would recommend this course.,Positive
138,8,5,8,8,10,4,2,6,Loved the presentations.,Positive
537,10,6,4,9,9,5,7,5,I would recommend this course.,Positive
265,5,9,7,6,5,6,5,3,Not very helpful.,Negative
724,5,2,6,1,7,3,3,1,Assignments are too hard.,Negative
653,5,6,5,6,6,3,9,2,Assignments are too hard.,Negative
318,6,8,5,10,6,7,10,8,The teacher explains well.,Positive
232,6,8,5,5,1,1,7,8,Best subject ever!,Positive
21,9,7,5,3,6,6,1,6,Assignments are too hard.,Negative
998,9,7,5,1,2,2,1,10,Assignments are too hard.,Negative
694,9,8,8,10,7,7,7,2,Sometimes explanations are confusing.,Negative
927,6,2,6,2,10,3,6,4,Sometimes explanations are confusing.,Negative
348,7,9,5,6,5,5,8,6,The teacher explains well.,Positive
968,6,7,6,3,8,1,9,3,Best subject ever!,Positive
992,10,6,4,3,8,6,10,3,Very supportive teacher.,Positive
764,9,3,7,6,3,8,10,2,Sometimes explanations are confusing.,Negative
587,5,4,8,2,2,2,4,10,Very supportive teacher.,Positive
944,10,8,6,8,8,7,9,6,"Great course, learned a lot!",Positive
239,5,10,4,3,2,7,4,4,Sometimes explanations are confusing.,Negative
886,7,7,5,5,10,1,9,9,Not very helpful.,Negative
23,9,7,4,2,1,2,9,3,Best subject ever!,Positive
458,6,2,4,6,6,10,4,1,The teacher explains well.,Positive
822,6,2,7,1,5,4,1,10,"Great course, learned a lot!",Positive
413,7,10,4,2,3,1,10,1,Best subject ever!,Positive
563,7,4,8,8,7,3,3,10,Not very helpful.,Negative
331,8,8,7,5,10,4,7,5,Best subject ever!,Positive
434,7,7,7,6,1,8,9,6,Not very helpful.,Negative
456,10,4,8,6,5,1,10,1,Not very helpful.,Negative
430,9,6,4,9,8,6,4,3,Very supportive teacher.,Positive
896,6,8,7,5,4,4,5,5,I would recommend this course.,Positive
451,9,3,6,10,7,8,9,10,"Great course, learned a lot!",Positive
477,5,2,5,6,10,6,10,8,Best subject ever!,Positive
9,7,5,4,5,1,3,5,6,Loved the presentations.,Positive
325,7,5,7,6,1,5,8,6,"Great course, learned a lot!",Positive
812,9,5,4,4,2,4,2,6,I would recommend this course.,Positive
727,7,2,6,4,2,10,9,5,"Great course, learned a lot!",Positive
928,6,7,6,9,4,8,5,8,Assignments are too hard.,Negative
134,9,9,7,4,7,10,8,3,Loved the presentations.,Positive
819,6,7,8,8,9,10,2,2,I would recommend this course.,Positive
230,7,2,8,2,6,1,9,2,Very supportive teacher.,Positive
520,9,3,5,6,7,10,10,3,Best subject ever!,Positive
326,7,10,8,8,6,4,9,7,Course structure could be better.,Positive
142,6,8,4,10,8,5,8,6,I would recommend this course.,Positive
491,5,4,8,6,1,3,4,4,The teacher explains well.,Positive
379,7,5,6,2,9,7,3,10,Best subject ever!,Positive
465,5,2,8,8,6,8,2,4,I would recommend this course.,Positive
756,6,7,7,3,2,6,9,7,Assignments are too hard.,Negative
347,6,8,7,3,5,1,2,8,Course structure could be better.,Positive
237,10,4,5,8,7,8,2,8,Assignments are too hard.,Negative
642,5,7,6,8,9,6,6,7,Course structure could be better.,Positive
506,9,7,4,1,5,7,5,1,The teacher explains well.,Positive
646,7,8,5,4,7,8,8,8,Best subject ever!,Positive
382,10,10,7,5,2,3,6,3,Very supportive teacher.,Positive
256,6,7,4,5,9,8,6,5,Assignments are too hard.,Negative
327,8,8,5,10,2,1,10,5,Assignments are too hard.,Negative
624,7,3,7,10,2,1,8,8,Not very helpful.,Negative
155,8,8,8,10,3,9,7,3,Course structure could be better.,Positive
578,8,10,7,4,5,8,7,6,Sometimes explanations are confusing.,Negative
640,10,9,4,10,2,4,3,1,Best subject ever!,Positive
997,9,8,8,6,8,3,3,10,Course structure could be better.,Positive
242,7,9,5,4,5,9,1,4,Not very helpful.,Negative
344,7,6,8,9,8,3,8,5,"Great course, learned a lot!",Positive
699,9,5,4,8,4,2,2,8,Course structure could be better.,Positive
77,9,4,5,9,2,1,5,10,Very supportive teacher.,Positive
821,8,9,5,5,8,9,4,9,Best subject ever!,Positive
903,9,8,8,8,4,8,4,1,Not very helpful.,Negative
540,9,10,7,3,2,4,4,5,"Great course, learned a lot!",Positive
596,5,8,7,7,1,2,10,3,Loved the presentations.,Positive
169,8,2,6,3,3,6,9,3,Not very helpful.,Negative
526,9,5,5,5,2,6,4,9,Loved the presentations.,Positive
361,7,2,6,4,5,7,8,3,Best subject ever!,Positive
917,8,6,5,3,7,5,4,8,Assignments are too hard.,Negative
342,5,9,8,1,9,8,7,10,Not very helpful.,Negative
599,5,2,4,8,4,8,9,5,The teacher explains well.,Positive
875,5,4,7,3,5,6,4,5,Loved the presentations.,Positive
745,5,9,5,10,8,2,9,1,Very supportive teacher.,Positive
131,9,4,8,2,7,5,2,10,The teacher explains well.,Positive
143,6,6,7,8,10,3,3,9,I would recommend this course.,Positive
666,10,5,6,8,1,2,7,7,I would recommend this course.,Positive
104,8,5,4,2,7,9,4,4,"Great course, learned a lot!",Positive
964,8,5,5,3,10,5,5,3,Assignments are too hard.,Negative
208,8,7,5,7,2,3,2,8,Best subject ever!,Positive
774,7,10,5,4,6,10,9,6,Not very helpful.,Negative
346,10,7,4,9,3,2,10,8,Sometimes explanations are confusing.,Negative
97,7,8,7,9,6,3,10,7,Very supportive teacher.,Positive
306,9,10,4,1,3,3,2,5,Loved the presentations.,Positive
18,9,6,6,1,5,8,4,10,Best subject ever!,Positive
284,5,7,6,3,10,3,8,6,The teacher explains well.,Positive
173,5,7,5,10,10,10,3,10,I would recommend this course.,Positive
558,7,9,5,5,9,7,3,5,Very supportive teacher.,Positive
51,7,2,6,2,8,2,10,2,Sometimes explanations are confusing.,Negative
357,5,8,7,5,4,1,8,8,Not very helpful.,Negative
692,8,8,6,9,5,8,7,10,"Great course, learned a lot!",Positive
26,8,2,6,10,9,9,4,5,Sometimes explanations are confusing.,Negative
386,9,5,5,4,6,5,7,7,Very supportive teacher.,Positive
287,5,9,5,5,10,8,4,10,Sometimes explanations are confusing.,Negative
974,8,10,4,2,4,9,8,7,Very supportive teacher.,Positive
683,6,9,4,8,5,5,1,10,Very supportive teacher.,Positive
374,6,9,4,6,2,6,7,8,Course structure could be better.,Positive
278,10,8,7,8,6,7,8,1,Loved the presentations.,Positive
367,10,4,8,3,3,9,5,7,I would recommend this course.,Positive
800,7,4,5,2,1,6,3,9,Course structure could be better.,Positive
11,9,5,6,8,5,6,7,7,Not very helpful.,Negative
310,5,8,5,9,4,4,9,10,Course structure could be better.,Positive
910,5,8,7,10,8,2,4,8,Assignments are too hard.,Negative
440,5,7,8,9,7,1,8,10,Assignments are too hard.,Negative
441,7,8,5,3,1,8,6,8,I would recommend this course.,Positive
146,8,7,5,6,9,2,9,10,Sometimes explanations are confusing.,Negative
614,8,2,6,7,8,6,6,5,Loved the presentations.,Positive
262,10,5,4,9,6,9,9,3,I would recommend this course.,Positive
34,9,7,8,9,8,2,8,9,Very supportive teacher.,Positive
407,9,8,8,6,2,9,6,4,The teacher explains well.,Positive
564,5,10,5,6,8,5,3,1,Loved the presentations.,Positive
538,8,7,4,6,10,5,2,9,Loved the presentations.,Positive
748,5,8,6,1,10,2,4,9,Very supportive teacher.,Positive
675,8,7,8,9,8,6,2,8,Very supportive teacher.,Positive
224,10,7,7,6,2,1,7,9,"Great course, learned a lot!",Positive
10,8,3,7,4,3,6,4,1,I would recommend this course.,Positive
708,5,3,5,4,5,9,6,4,Very supportive teacher.,Positive
636,7,3,6,9,5,4,6,3,Assignments are too hard.,Negative
218,7,8,4,4,1,4,6,4,Not very helpful.,Negative
193,5,9,4,6,5,7,1,9,The teacher explains well.,Positive
106,6,6,5,8,3,1,9,7,I would recommend this course.,Positive
834,8,2,7,4,1,8,9,2,Best subject ever!,Positive
597,5,4,8,4,8,7,3,4,Assignments are too hard.,Negative
45,8,5,6,1,5,9,2,9,Sometimes explanations are confusing.,Negative
264,5,2,4,4,7,6,4,1,Very supportive teacher.,Positive
219,10,4,5,7,9,10,8,3,Best subject ever!,Positive
